,Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,produce_variety,Type_of_Commodity,Package_Type,package_weight(Kg),Day,Month,Year,Price
862,Legumes,Beans Canadian,Bag,90,KES5547.00,09/01/2013,2,1,0,90,1,9,2013,5547.0
863,Legumes,Beans Rosecoco,Bag,90,KES5973.00,09/01/2013,2,3,0,90,1,9,2013,5973.0
864,Legumes,Beans Mwitemania,Bag,90,KES5220.00,09/01/2013,2,2,0,90,1,9,2013,5220.0
865,Legumes,Mwezi Moja,Bag,90,KES5480.00,09/01/2013,2,27,0,90,1,9,2013,5480.0
866,Legumes,Dolichos (Njahi),Bag,90,KES7323.00,09/01/2013,2,14,0,90,1,9,2013,7323.0
867,Legumes,Green Gram,Bag,90,KES7160.00,09/01/2013,2,18,0,90,1,9,2013,7160.0
868,Legumes,Cowpeas,Bag,90,KES5227.00,09/01/2013,2,12,0,90,1,9,2013,5227.0
869,Legumes,Fresh Peas,Bag,51,KES2856.00,09/01/2013,2,17,0,51,1,9,2013,2856.0
870,Legumes,Groundnuts,Bag,110,KES11481.00,09/01/2013,2,20,0,110,1,9,2013,11481.0
871,Roots & Tubers,Red Irish Potatoes,Bag,110,KES3045.00,09/01/2013,3,33,0,110,1,9,2013,3045.0
872,Roots & Tubers,White Irish Potatoes,Bag,110,KES3014.00,09/01/2013,3,40,0,110,1,9,2013,3014.0
873,Roots & Tubers,Cassava Fresh,Bag,99,KES2175.00,09/01/2013,3,8,0,99,1,9,2013,2175.0
874,Roots & Tubers,Sweet Potatoes,Bag,98,KES2655.00,09/01/2013,3,37,0,98,1,9,2013,2655.0
875,Cereals,Dry Maize,Bag,90,KES2943.00,10/01/2013,0,15,0,90,1,10,2013,2943.0
876,Cereals,Green Maize,Ext Bag,115,KES2451.00,10/01/2013,0,19,2,115,1,10,2013,2451.0
877,Cereals,Finger Millet,Bag,90,KES6032.00,10/01/2013,0,16,0,90,1,10,2013,6032.0
878,Cereals,Sorghum,Bag,90,KES3629.00,10/01/2013,0,35,0,90,1,10,2013,3629.0
879,Cereals,Wheat,Bag,90,KES3524.00,10/01/2013,0,39,0,90,1,10,2013,3524.0
880,Legumes,Beans Canadian,Bag,90,KES5984.00,10/01/2013,2,1,0,90,1,10,2013,5984.0
881,Legumes,Beans Rosecoco,Bag,90,KES5943.00,10/01/2013,2,3,0,90,1,10,2013,5943.0
882,Legumes,Beans Mwitemania,Bag,90,KES5366.00,10/01/2013,2,2,0,90,1,10,2013,5366.0
883,Legumes,Mwezi Moja,Bag,90,KES5869.00,10/01/2013,2,27,0,90,1,10,2013,5869.0
884,Legumes,Dolichos (Njahi),Bag,90,KES7079.00,10/01/2013,2,14,0,90,1,10,2013,7079.0
885,Legumes,Green Gram,Bag,90,KES7461.00,10/01/2013,2,18,0,90,1,10,2013,7461.0
886,Legumes,Cowpeas,Bag,90,KES5322.00,10/01/2013,2,12,0,90,1,10,2013,5322.0
887,Legumes,Fresh Peas,Bag,51,KES2537.00,10/01/2013,2,17,0,51,1,10,2013,2537.0
888,Legumes,Groundnuts,Bag,110,KES11555.00,10/01/2013,2,20,0,110,1,10,2013,11555.0
889,Roots & Tubers,Red Irish Potatoes,Bag,110,KES3124.00,10/01/2013,3,33,0,110,1,10,2013,3124.0
890,Roots & Tubers,White Irish Potatoes,Bag,110,KES3014.00,10/01/2013,3,40,0,110,1,10,2013,3014.0
891,Roots & Tubers,Cassava Fresh,Bag,99,KES1896.00,10/01/2013,3,8,0,99,1,10,2013,1896.0
892,Roots & Tubers,Sweet Potatoes,Bag,98,KES2746.00,10/01/2013,3,37,0,98,1,10,2013,2746.0
893,Cereals,Dry Maize,Bag,90,KES3033.00,11/01/2013,0,15,0,90,1,11,2013,3033.0
894,Cereals,Green Maize,Ext Bag,115,KES2836.00,11/01/2013,0,19,2,115,1,11,2013,2836.0
895,Cereals,Finger Millet,Bag,90,KES6072.00,11/01/2013,0,16,0,90,1,11,2013,6072.0
896,Cereals,Sorghum,Bag,90,KES3780.00,11/01/2013,0,35,0,90,1,11,2013,3780.0
897,Cereals,Wheat,Bag,90,KES3697.00,11/01/2013,0,39,0,90,1,11,2013,3697.0
898,Legumes,Beans Canadian,Bag,90,KES6225.00,11/01/2013,2,1,0,90,1,11,2013,6225.0
899,Legumes,Beans Rosecoco,Bag,90,KES5973.00,11/01/2013,2,3,0,90,1,11,2013,5973.0
900,Legumes,Beans Mwitemania,Bag,90,KES5374.00,11/01/2013,2,2,0,90,1,11,2013,5374.0
901,Legumes,Mwezi Moja,Bag,90,KES5939.00,11/01/2013,2,27,0,90,1,11,2013,5939.0
902,Legumes,Dolichos (Njahi),Bag,90,KES7127.00,11/01/2013,2,14,0,90,1,11,2013,7127.0
903,Legumes,Green Gram,Bag,90,KES7916.00,11/01/2013,2,18,0,90,1,11,2013,7916.0
904,Legumes,Cowpeas,Bag,90,KES5782.00,11/01/2013,2,12,0,90,1,11,2013,5782.0
905,Legumes,Fresh Peas,Bag,51,KES2272.00,11/01/2013,2,17,0,51,1,11,2013,2272.0
906,Legumes,Groundnuts,Bag,110,KES11877.00,11/01/2013,2,20,0,110,1,11,2013,11877.0
907,Roots & Tubers,Red Irish Potatoes,Bag,110,KES3326.00,11/01/2013,3,33,0,110,1,11,2013,3326.0
908,Roots & Tubers,White Irish Potatoes,Bag,110,KES3291.00,11/01/2013,3,40,0,110,1,11,2013,3291.0
909,Roots & Tubers,Cassava Fresh,Bag,99,KES2023.00,11/01/2013,3,8,0,99,1,11,2013,2023.0
910,Roots & Tubers,Sweet Potatoes,Bag,98,KES2862.00,11/01/2013,3,37,0,98,1,11,2013,2862.0
911,Cereals,Dry Maize,Bag,90,KES3037.00,12/01/2013,0,15,0,90,1,12,2013,3037.0
912,Cereals,Green Maize,Ext Bag,115,KES3050.00,12/01/2013,0,19,2,115,1,12,2013,3050.0
913,Cereals,Finger Millet,Bag,90,KES5823.00,12/01/2013,0,16,0,90,1,12,2013,5823.0
914,Cereals,Sorghum,Bag,90,KES3851.00,12/01/2013,0,35,0,90,1,12,2013,3851.0
915,Cereals,Wheat,Bag,90,KES4144.00,12/01/2013,0,39,0,90,1,12,2013,4144.0
916,Legumes,Beans Canadian,Bag,90,KES5978.00,12/01/2013,2,1,0,90,1,12,2013,5978.0
917,Legumes,Beans Rosecoco,Bag,90,KES5942.00,12/01/2013,2,3,0,90,1,12,2013,5942.0
