,Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,produce_variety,Type_of_Commodity,Package_Type,package_weight(Kg),Day,Month,Year,Price
30,Horticulture,Chillies,Bag,38,KES2610.00,02/01/2012,1,10,0,38,1,2,2012,2610.0
31,Horticulture,Cucumber,Bag,50,KES1598.00,02/01/2012,1,13,0,50,1,2,2012,1598.0
32,Horticulture,Capsicums,Bag,50,KES2727.00,02/01/2012,1,6,0,50,1,2,2012,2727.0
33,Horticulture,Brinjals,Bag,44,KES1578.00,02/01/2012,1,4,0,44,1,2,2012,1578.0
34,Horticulture,Cauliflower,crate,39,KES2933.00,02/01/2012,1,9,6,39,1,2,2012,2933.0
35,Horticulture,Lettuce,Bag,51,KES2863.00,02/01/2012,1,23,0,51,1,2,2012,2863.0
36,Horticulture,Passion Fruits,Bag,57,KES3512.00,02/01/2012,1,30,0,57,1,2,2012,3512.0
37,Horticulture,Oranges,Bag,93,KES2880.00,02/01/2012,1,29,0,93,1,2,2012,2880.0
38,Horticulture,Lemons,Bag,95,KES1433.00,02/01/2012,1,22,0,95,1,2,2012,1433.0
39,Horticulture,Mangoes Local,Bag,126,KES1726.00,02/01/2012,1,25,0,126,1,2,2012,1726.0
40,Horticulture,Mangoes Ngowe,Sm Basket,25,KES817.00,02/01/2012,1,26,5,25,1,2,2012,817.0
41,Horticulture,Limes,net,13,KES544.00,02/01/2012,1,24,7,13,1,2,2012,544.0
42,Horticulture,Pineapples,Dozen,13,KES695.00,02/01/2012,1,32,1,13,1,2,2012,695.0
43,Horticulture,Pawpaw,Lg Box,54,KES1535.00,02/01/2012,1,31,3,54,1,2,2012,1535.0
44,Horticulture,Avocado,Bag,90,KES2439.00,02/01/2012,1,0,0,90,1,2,2012,2439.0
45,Horticulture,Kales,Bag,50,KES1985.00,02/01/2012,1,21,0,50,1,2,2012,1985.0
46,Horticulture,Cabbages,Ext Bag,126,KES3049.00,03/01/2012,1,5,2,126,1,3,2012,3049.0
47,Horticulture,Cooking Bananas,Med Bunch,22,KES570.00,03/01/2012,1,11,4,22,1,3,2012,570.0
48,Horticulture,Ripe Bananas,Med Bunch,14,KES635.00,03/01/2012,1,34,4,14,1,3,2012,635.0
49,Horticulture,Carrots,Ext Bag,138,KES3223.00,03/01/2012,1,7,2,138,1,3,2012,3223.0
50,Horticulture,Tomatoes,Lg Box,64,KES3685.00,03/01/2012,1,38,3,64,1,3,2012,3685.0
51,Horticulture,Onions Dry,net,13,KES992.00,03/01/2012,1,28,7,13,1,3,2012,992.0
52,Horticulture,Spring Onions,Bag,142,KES1981.00,03/01/2012,1,36,0,142,1,3,2012,1981.0
53,Horticulture,Chillies,Bag,38,KES2954.00,03/01/2012,1,10,0,38,1,3,2012,2954.0
54,Horticulture,Cucumber,Bag,50,KES2413.00,03/01/2012,1,13,0,50,1,3,2012,2413.0
55,Horticulture,Capsicums,Bag,50,KES3247.00,03/01/2012,1,6,0,50,1,3,2012,3247.0
56,Horticulture,Brinjals,Bag,44,KES1559.00,03/01/2012,1,4,0,44,1,3,2012,1559.0
57,Horticulture,Cauliflower,crate,39,KES2018.00,03/01/2012,1,9,6,39,1,3,2012,2018.0
58,Horticulture,Lettuce,Bag,51,KES2939.00,03/01/2012,1,23,0,51,1,3,2012,2939.0
59,Horticulture,Passion Fruits,Bag,57,KES3351.00,03/01/2012,1,30,0,57,1,3,2012,3351.0
60,Horticulture,Oranges,Bag,93,KES3075.00,03/01/2012,1,29,0,93,1,3,2012,3075.0
61,Horticulture,Lemons,Bag,95,KES1300.00,03/01/2012,1,22,0,95,1,3,2012,1300.0
62,Horticulture,Mangoes Local,Bag,126,KES2015.00,03/01/2012,1,25,0,126,1,3,2012,2015.0
63,Horticulture,Mangoes Ngowe,Sm Basket,25,KES1130.00,03/01/2012,1,26,5,25,1,3,2012,1130.0
64,Horticulture,Limes,net,13,KES541.00,03/01/2012,1,24,7,13,1,3,2012,541.0
65,Horticulture,Pineapples,Dozen,13,KES748.00,03/01/2012,1,32,1,13,1,3,2012,748.0
66,Horticulture,Pawpaw,Lg Box,54,KES1503.00,03/01/2012,1,31,3,54,1,3,2012,1503.0
67,Horticulture,Avocado,Bag,90,KES2252.00,03/01/2012,1,0,0,90,1,3,2012,2252.0
68,Horticulture,Kales,Bag,50,KES2049.00,03/01/2012,1,21,0,50,1,3,2012,2049.0
69,Horticulture,Cabbages,Ext Bag,126,KES2625.00,04/01/2012,1,5,2,126,1,4,2012,2625.0
70,Horticulture,Cooking Bananas,Med Bunch,22,KES543.00,04/01/2012,1,11,4,22,1,4,2012,543.0
71,Horticulture,Ripe Bananas,Med Bunch,14,KES623.00,04/01/2012,1,34,4,14,1,4,2012,623.0
72,Horticulture,Carrots,Ext Bag,138,KES3536.00,04/01/2012,1,7,2,138,1,4,2012,3536.0
73,Horticulture,Tomatoes,Lg Box,64,KES2820.00,04/01/2012,1,38,3,64,1,4,2012,2820.0
74,Horticulture,Onions Dry,net,13,KES1174.00,04/01/2012,1,28,7,13,1,4,2012,1174.0
75,Horticulture,Spring Onions,Bag,142,KES1833.00,04/01/2012,1,36,0,142,1,4,2012,1833.0
76,Horticulture,Chillies,Bag,38,KES2769.00,04/01/2012,1,10,0,38,1,4,2012,2769.0
77,Horticulture,Cucumber,Bag,50,KES2207.00,04/01/2012,1,13,0,50,1,4,2012,2207.0
78,Horticulture,Capsicums,Bag,50,KES2889.00,04/01/2012,1,6,0,50,1,4,2012,2889.0
79,Horticulture,Brinjals,Bag,44,KES1692.00,04/01/2012,1,4,0,44,1,4,2012,1692.0
80,Horticulture,Cauliflower,crate,39,KES2865.00,04/01/2012,1,9,6,39,1,4,2012,2865.0
81,Horticulture,Lettuce,Bag,51,KES3729.00,04/01/2012,1,23,0,51,1,4,2012,3729.0
82,Horticulture,Passion Fruits,Bag,57,KES3589.00,04/01/2012,1,30,0,57,1,4,2012,3589.0
83,Horticulture,Oranges,Bag,93,KES2792.00,04/01/2012,1,29,0,93,1,4,2012,2792.0
84,Horticulture,Lemons,Bag,95,KES1199.00,04/01/2012,1,22,0,95,1,4,2012,1199.0
85,Horticulture,Mangoes Local,Bag,126,KES1993.00,04/01/2012,1,25,0,126,1,4,2012,1993.0
86,Horticulture,Mangoes Ngowe,Sm Basket,25,KES1069.00,04/01/2012,1,26,5,25,1,4,2012,1069.0
87,Horticulture,Limes,net,13,KES601.00,04/01/2012,1,24,7,13,1,4,2012,601.0
88,Horticulture,Pineapples,Dozen,13,KES747.00,04/01/2012,1,32,1,13,1,4,2012,747.0
89,Horticulture,Pawpaw,Lg Box,54,KES1538.00,04/01/2012,1,31,3,54,1,4,2012,1538.0
90,Horticulture,Avocado,Bag,90,KES2044.00,04/01/2012,1,0,0,90,1,4,2012,2044.0
91,Horticulture,Kales,Bag,50,KES1580.00,04/01/2012,1,21,0,50,1,4,2012,1580.0
92,Horticulture,Cabbages,Ext Bag,126,KES2105.00,05/01/2012,1,5,2,126,1,5,2012,2105.0
93,Horticulture,Cooking Bananas,Med Bunch,22,KES565.00,05/01/2012,1,11,4,22,1,5,2012,565.0
94,Horticulture,Ripe Bananas,Med Bunch,14,KES630.00,05/01/2012,1,34,4,14,1,5,2012,630.0
95,Horticulture,Carrots,Ext Bag,138,KES3752.00,05/01/2012,1,7,2,138,1,5,2012,3752.0
96,Horticulture,Tomatoes,Lg Box,64,KES3302.00,05/01/2012,1,38,3,64,1,5,2012,3302.0
97,Horticulture,Onions Dry,net,13,KES1153.00,05/01/2012,1,28,7,13,1,5,2012,1153.0
98,Horticulture,Spring Onions,Bag,142,KES1793.00,05/01/2012,1,36,0,142,1,5,2012,1793.0
99,Horticulture,Chillies,Bag,38,KES2889.00,05/01/2012,1,10,0,38,1,5,2012,2889.0
100,Horticulture,Cucumber,Bag,50,KES2072.00,05/01/2012,1,13,0,50,1,5,2012,2072.0
101,Horticulture,Capsicums,Bag,50,KES2758.00,05/01/2012,1,6,0,50,1,5,2012,2758.0
102,Horticulture,Brinjals,Bag,44,KES1390.00,05/01/2012,1,4,0,44,1,5,2012,1390.0
103,Horticulture,Cauliflower,crate,39,KES2969.00,05/01/2012,1,9,6,39,1,5,2012,2969.0
104,Horticulture,Lettuce,Bag,51,KES3390.00,05/01/2012,1,23,0,51,1,5,2012,3390.0
105,Horticulture,Passion Fruits,Bag,57,KES3633.00,05/01/2012,1,30,0,57,1,5,2012,3633.0
106,Horticulture,Oranges,Bag,93,KES2708.00,05/01/2012,1,29,0,93,1,5,2012,2708.0
107,Horticulture,Lemons,Bag,95,KES1461.00,05/01/2012,1,22,0,95,1,5,2012,1461.0
108,Horticulture,Mangoes Local,Bag,126,KES1960.00,05/01/2012,1,25,0,126,1,5,2012,1960.0
109,Horticulture,Mangoes Ngowe,Sm Basket,25,KES1132.00,05/01/2012,1,26,5,25,1,5,2012,1132.0
110,Horticulture,Limes,net,13,KES681.00,05/01/2012,1,24,7,13,1,5,2012,681.0
111,Horticulture,Pineapples,Dozen,13,KES788.00,05/01/2012,1,32,1,13,1,5,2012,788.0
112,Horticulture,Pawpaw,Lg Box,54,KES1428.00,05/01/2012,1,31,3,54,1,5,2012,1428.0
113,Horticulture,Avocado,Bag,90,KES1939.00,05/01/2012,1,0,0,90,1,5,2012,1939.0
114,Horticulture,Kales,Bag,50,KES1206.00,05/01/2012,1,21,0,50,1,5,2012,1206.0
115,Horticulture,Cabbages,Ext Bag,126,KES2221.00,06/01/2012,1,5,2,126,1,6,2012,2221.0
116,Horticulture,Cooking Bananas,Med Bunch,22,KES589.00,06/01/2012,1,11,4,22,1,6,2012,589.0
117,Horticulture,Ripe Bananas,Med Bunch,14,KES659.00,06/01/2012,1,34,4,14,1,6,2012,659.0
118,Horticulture,Carrots,Ext Bag,138,KES4147.00,06/01/2012,1,7,2,138,1,6,2012,4147.0
119,Horticulture,Tomatoes,Lg Box,64,KES4172.00,06/01/2012,1,38,3,64,1,6,2012,4172.0
120,Horticulture,Onions Dry,net,13,KES1229.00,06/01/2012,1,28,7,13,1,6,2012,1229.0
121,Horticulture,Spring Onions,Bag,142,KES1993.00,06/01/2012,1,36,0,142,1,6,2012,1993.0
122,Horticulture,Chillies,Bag,38,KES2658.00,06/01/2012,1,10,0,38,1,6,2012,2658.0
123,Horticulture,Cucumber,Bag,50,KES1893.00,06/01/2012,1,13,0,50,1,6,2012,1893.0
124,Horticulture,Capsicums,Bag,50,KES2758.00,06/01/2012,1,6,0,50,1,6,2012,2758.0
125,Horticulture,Brinjals,Bag,44,KES1606.00,06/01/2012,1,4,0,44,1,6,2012,1606.0
126,Horticulture,Cauliflower,crate,39,KES2147.00,06/01/2012,1,9,6,39,1,6,2012,2147.0
127,Horticulture,Lettuce,Bag,51,KES3281.00,06/01/2012,1,23,0,51,1,6,2012,3281.0
128,Horticulture,Passion Fruits,Bag,57,KES3636.00,06/01/2012,1,30,0,57,1,6,2012,3636.0
129,Horticulture,Oranges,Bag,93,KES2410.00,06/01/2012,1,29,0,93,1,6,2012,2410.0
130,Horticulture,Lemons,Bag,95,KES1767.00,06/01/2012,1,22,0,95,1,6,2012,1767.0
131,Horticulture,Mangoes Local,Bag,126,KES2018.00,06/01/2012,1,25,0,126,1,6,2012,2018.0
132,Horticulture,Mangoes Ngowe,Sm Basket,25,KES1004.00,06/01/2012,1,26,5,25,1,6,2012,1004.0
133,Horticulture,Limes,net,13,KES655.00,06/01/2012,1,24,7,13,1,6,2012,655.0
134,Horticulture,Pineapples,Dozen,13,KES851.00,06/01/2012,1,32,1,13,1,6,2012,851.0
135,Horticulture,Pawpaw,Lg Box,54,KES1406.00,06/01/2012,1,31,3,54,1,6,2012,1406.0
136,Horticulture,Avocado,Bag,90,KES1971.00,06/01/2012,1,0,0,90,1,6,2012,1971.0
137,Horticulture,Kales,Bag,50,KES1272.00,06/01/2012,1,21,0,50,1,6,2012,1272.0
138,Horticulture,Cabbages,Ext Bag,126,KES2034.00,07/01/2012,1,5,2,126,1,7,2012,2034.0
139,Horticulture,Cooking Bananas,Med Bunch,22,KES544.00,07/01/2012,1,11,4,22,1,7,2012,544.0
140,Horticulture,Ripe Bananas,Med Bunch,14,KES582.00,07/01/2012,1,34,4,14,1,7,2012,582.0
141,Horticulture,Carrots,Ext Bag,138,KES4534.00,07/01/2012,1,7,2,138,1,7,2012,4534.0
142,Horticulture,Tomatoes,Lg Box,64,KES2602.00,07/01/2012,1,38,3,64,1,7,2012,2602.0
143,Horticulture,Onions Dry,net,13,KES1004.00,07/01/2012,1,28,7,13,1,7,2012,1004.0
144,Horticulture,Spring Onions,Bag,142,KES2103.00,07/01/2012,1,36,0,142,1,7,2012,2103.0
145,Horticulture,Chillies,Bag,38,KES2785.00,07/01/2012,1,10,0,38,1,7,2012,2785.0
146,Horticulture,Cucumber,Bag,50,KES1917.00,07/01/2012,1,13,0,50,1,7,2012,1917.0
147,Horticulture,Capsicums,Bag,50,KES2552.00,07/01/2012,1,6,0,50,1,7,2012,2552.0
148,Horticulture,Brinjals,Bag,44,KES1592.00,07/01/2012,1,4,0,44,1,7,2012,1592.0
149,Horticulture,Cauliflower,crate,39,KES2744.00,07/01/2012,1,9,6,39,1,7,2012,2744.0
150,Horticulture,Lettuce,Bag,51,KES3563.00,07/01/2012,1,23,0,51,1,7,2012,3563.0
151,Horticulture,Passion Fruits,Bag,57,KES3726.00,07/01/2012,1,30,0,57,1,7,2012,3726.0
152,Horticulture,Oranges,Bag,93,KES2413.00,07/01/2012,1,29,0,93,1,7,2012,2413.0
153,Horticulture,Lemons,Bag,95,KES1695.00,07/01/2012,1,22,0,95,1,7,2012,1695.0
154,Horticulture,Mangoes Local,Bag,126,KES1750.00,07/01/2012,1,25,0,126,1,7,2012,1750.0
155,Horticulture,Mangoes Ngowe,Sm Basket,25,KES1063.00,07/01/2012,1,26,5,25,1,7,2012,1063.0
156,Horticulture,Limes,net,13,KES602.00,07/01/2012,1,24,7,13,1,7,2012,602.0
157,Horticulture,Pineapples,Dozen,13,KES831.00,07/01/2012,1,32,1,13,1,7,2012,831.0
158,Horticulture,Pawpaw,Lg Box,54,KES1432.00,07/01/2012,1,31,3,54,1,7,2012,1432.0
159,Horticulture,Avocado,Bag,90,KES1741.00,07/01/2012,1,0,0,90,1,7,2012,1741.0
160,Horticulture,Kales,Bag,50,KES824.00,07/01/2012,1,21,0,50,1,7,2012,824.0
161,Horticulture,Cabbages,Ext Bag,126,KES1905.00,08/01/2012,1,5,2,126,1,8,2012,1905.0
162,Horticulture,Cooking Bananas,Med Bunch,22,KES572.00,08/01/2012,1,11,4,22,1,8,2012,572.0
163,Horticulture,Ripe Bananas,Med Bunch,14,KES542.00,08/01/2012,1,34,4,14,1,8,2012,542.0
164,Horticulture,Carrots,Ext Bag,138,KES3850.00,08/01/2012,1,7,2,138,1,8,2012,3850.0
165,Horticulture,Tomatoes,Lg Box,64,KES2576.00,08/01/2012,1,38,3,64,1,8,2012,2576.0
166,Horticulture,Onions Dry,net,13,KES887.00,08/01/2012,1,28,7,13,1,8,2012,887.0
167,Horticulture,Spring Onions,Bag,142,KES1975.00,08/01/2012,1,36,0,142,1,8,2012,1975.0
168,Horticulture,Chillies,Bag,38,KES2652.00,08/01/2012,1,10,0,38,1,8,2012,2652.0
169,Horticulture,Cucumber,Bag,50,KES1572.00,08/01/2012,1,13,0,50,1,8,2012,1572.0
170,Horticulture,Capsicums,Bag,50,KES2769.00,08/01/2012,1,6,0,50,1,8,2012,2769.0
171,Horticulture,Brinjals,Bag,44,KES1544.00,08/01/2012,1,4,0,44,1,8,2012,1544.0
172,Horticulture,Cauliflower,crate,39,KES2408.00,08/01/2012,1,9,6,39,1,8,2012,2408.0
173,Horticulture,Lettuce,Bag,51,KES4246.00,08/01/2012,1,23,0,51,1,8,2012,4246.0
174,Horticulture,Passion Fruits,Bag,57,KES3291.00,08/01/2012,1,30,0,57,1,8,2012,3291.0
175,Horticulture,Oranges,Bag,93,KES2736.00,08/01/2012,1,29,0,93,1,8,2012,2736.0
176,Horticulture,Lemons,Bag,95,KES1749.00,08/01/2012,1,22,0,95,1,8,2012,1749.0
177,Horticulture,Mangoes Local,Bag,126,KES1791.00,08/01/2012,1,25,0,126,1,8,2012,1791.0
178,Horticulture,Mangoes Ngowe,Sm Basket,25,KES1013.00,08/01/2012,1,26,5,25,1,8,2012,1013.0
179,Horticulture,Limes,net,13,KES817.00,08/01/2012,1,24,7,13,1,8,2012,817.0
180,Horticulture,Pineapples,Dozen,13,KES698.00,08/01/2012,1,32,1,13,1,8,2012,698.0
181,Horticulture,Pawpaw,Lg Box,54,KES1388.00,08/01/2012,1,31,3,54,1,8,2012,1388.0
182,Horticulture,Avocado,Bag,90,KES1634.00,08/01/2012,1,0,0,90,1,8,2012,1634.0
183,Horticulture,Kales,Bag,50,KES682.00,08/01/2012,1,21,0,50,1,8,2012,682.0
184,Horticulture,Cabbages,Ext Bag,126,KES1792.00,09/01/2012,1,5,2,126,1,9,2012,1792.0
185,Horticulture,Cooking Bananas,Med Bunch,22,KES571.00,09/01/2012,1,11,4,22,1,9,2012,571.0
186,Horticulture,Ripe Bananas,Med Bunch,14,KES573.00,09/01/2012,1,34,4,14,1,9,2012,573.0
187,Horticulture,Carrots,Ext Bag,138,KES3261.00,09/01/2012,1,7,2,138,1,9,2012,3261.0
188,Horticulture,Tomatoes,Lg Box,64,KES2602.00,09/01/2012,1,38,3,64,1,9,2012,2602.0
189,Horticulture,Onions Dry,net,13,KES1018.00,09/01/2012,1,28,7,13,1,9,2012,1018.0
190,Horticulture,Spring Onions,Bag,142,KES2097.00,09/01/2012,1,36,0,142,1,9,2012,2097.0
191,Horticulture,Chillies,Bag,38,KES3783.00,09/01/2012,1,10,0,38,1,9,2012,3783.0
192,Horticulture,Cucumber,Bag,50,KES1735.00,09/01/2012,1,13,0,50,1,9,2012,1735.0
193,Horticulture,Capsicums,Bag,50,KES2674.00,09/01/2012,1,6,0,50,1,9,2012,2674.0
194,Horticulture,Brinjals,Bag,44,KES1474.00,09/01/2012,1,4,0,44,1,9,2012,1474.0
195,Horticulture,Cauliflower,crate,39,KES2087.00,09/01/2012,1,9,6,39,1,9,2012,2087.0
196,Horticulture,Lettuce,Bag,51,KES4983.00,09/01/2012,1,23,0,51,1,9,2012,4983.0
197,Horticulture,Passion Fruits,Bag,57,KES3536.00,09/01/2012,1,30,0,57,1,9,2012,3536.0
198,Horticulture,Oranges,Bag,93,KES3163.00,09/01/2012,1,29,0,93,1,9,2012,3163.0
199,Horticulture,Lemons,Bag,95,KES1374.00,09/01/2012,1,22,0,95,1,9,2012,1374.0
200,Horticulture,Mangoes Local,Bag,126,KES2013.00,09/01/2012,1,25,0,126,1,9,2012,2013.0
201,Horticulture,Mangoes Ngowe,Sm Basket,25,KES932.00,09/01/2012,1,26,5,25,1,9,2012,932.0
202,Horticulture,Limes,net,13,KES626.00,09/01/2012,1,24,7,13,1,9,2012,626.0
203,Horticulture,Pineapples,Dozen,13,KES935.00,09/01/2012,1,32,1,13,1,9,2012,935.0
204,Horticulture,Pawpaw,Lg Box,54,KES1715.00,09/01/2012,1,31,3,54,1,9,2012,1715.0
205,Horticulture,Avocado,Bag,90,KES1975.00,09/01/2012,1,0,0,90,1,9,2012,1975.0
206,Horticulture,Kales,Bag,50,KES764.00,09/01/2012,1,21,0,50,1,9,2012,764.0
207,Horticulture,Cabbages,Ext Bag,126,KES1643.00,10/01/2012,1,5,2,126,1,10,2012,1643.0
208,Horticulture,Cooking Bananas,Med Bunch,22,KES626.00,10/01/2012,1,11,4,22,1,10,2012,626.0
209,Horticulture,Ripe Bananas,Med Bunch,14,KES636.00,10/01/2012,1,34,4,14,1,10,2012,636.0
210,Horticulture,Carrots,Ext Bag,138,KES2778.00,10/01/2012,1,7,2,138,1,10,2012,2778.0
211,Horticulture,Tomatoes,Lg Box,64,KES2576.00,10/01/2012,1,38,3,64,1,10,2012,2576.0
212,Horticulture,Onions Dry,net,13,KES819.00,10/01/2012,1,28,7,13,1,10,2012,819.0
213,Horticulture,Spring Onions,Bag,142,KES1852.00,10/01/2012,1,36,0,142,1,10,2012,1852.0
214,Horticulture,Chillies,Bag,38,KES2592.00,10/01/2012,1,10,0,38,1,10,2012,2592.0
215,Horticulture,Cucumber,Bag,50,KES2020.00,10/01/2012,1,13,0,50,1,10,2012,2020.0
216,Horticulture,Capsicums,Bag,50,KES2439.00,10/01/2012,1,6,0,50,1,10,2012,2439.0
217,Horticulture,Brinjals,Bag,44,KES1386.00,10/01/2012,1,4,0,44,1,10,2012,1386.0
218,Horticulture,Cauliflower,crate,39,KES1883.00,10/01/2012,1,9,6,39,1,10,2012,1883.0
219,Horticulture,Lettuce,Bag,51,KES4944.00,10/01/2012,1,23,0,51,1,10,2012,4944.0
220,Horticulture,Passion Fruits,Bag,57,KES3429.00,10/01/2012,1,30,0,57,1,10,2012,3429.0
221,Horticulture,Oranges,Bag,93,KES3003.00,10/01/2012,1,29,0,93,1,10,2012,3003.0
222,Horticulture,Lemons,Bag,95,KES1455.00,10/01/2012,1,22,0,95,1,10,2012,1455.0
223,Horticulture,Mangoes Local,Bag,126,KES1862.00,10/01/2012,1,25,0,126,1,10,2012,1862.0
224,Horticulture,Mangoes Ngowe,Sm Basket,25,KES1174.00,10/01/2012,1,26,5,25,1,10,2012,1174.0
225,Horticulture,Limes,net,13,KES680.00,10/01/2012,1,24,7,13,1,10,2012,680.0
226,Horticulture,Pineapples,Dozen,13,KES841.00,10/01/2012,1,32,1,13,1,10,2012,841.0
227,Horticulture,Pawpaw,Lg Box,54,KES1431.00,10/01/2012,1,31,3,54,1,10,2012,1431.0
228,Horticulture,Avocado,Bag,90,KES1860.00,10/01/2012,1,0,0,90,1,10,2012,1860.0
229,Horticulture,Kales,Bag,50,KES749.00,10/01/2012,1,21,0,50,1,10,2012,749.0
230,Horticulture,Cabbages,Ext Bag,126,KES1410.00,11/01/2012,1,5,2,126,1,11,2012,1410.0
231,Horticulture,Cooking Bananas,Med Bunch,22,KES548.00,11/01/2012,1,11,4,22,1,11,2012,548.0
232,Horticulture,Ripe Bananas,Med Bunch,14,KES593.00,11/01/2012,1,34,4,14,1,11,2012,593.0
233,Horticulture,Carrots,Ext Bag,138,KES2515.00,11/01/2012,1,7,2,138,1,11,2012,2515.0
234,Horticulture,Tomatoes,Lg Box,64,KES3392.00,11/01/2012,1,38,3,64,1,11,2012,3392.0
235,Horticulture,Onions Dry,net,13,KES907.00,11/01/2012,1,28,7,13,1,11,2012,907.0
236,Horticulture,Spring Onions,Bag,142,KES2015.00,11/01/2012,1,36,0,142,1,11,2012,2015.0
237,Horticulture,Chillies,Bag,38,KES2387.00,11/01/2012,1,10,0,38,1,11,2012,2387.0
238,Horticulture,Cucumber,Bag,50,KES1756.00,11/01/2012,1,13,0,50,1,11,2012,1756.0
239,Horticulture,Capsicums,Bag,50,KES2088.00,11/01/2012,1,6,0,50,1,11,2012,2088.0
240,Horticulture,Brinjals,Bag,44,KES1325.00,11/01/2012,1,4,0,44,1,11,2012,1325.0
241,Horticulture,Cauliflower,crate,39,KES1364.00,11/01/2012,1,9,6,39,1,11,2012,1364.0
242,Horticulture,Lettuce,Bag,51,KES2182.00,11/01/2012,1,23,0,51,1,11,2012,2182.0
243,Horticulture,Passion Fruits,Bag,57,KES3505.00,11/01/2012,1,30,0,57,1,11,2012,3505.0
244,Horticulture,Oranges,Bag,93,KES2678.00,11/01/2012,1,29,0,93,1,11,2012,2678.0
245,Horticulture,Lemons,Bag,95,KES1546.00,11/01/2012,1,22,0,95,1,11,2012,1546.0
246,Horticulture,Mangoes Local,Bag,126,KES1807.00,11/01/2012,1,25,0,126,1,11,2012,1807.0
247,Horticulture,Mangoes Ngowe,Sm Basket,25,KES875.00,11/01/2012,1,26,5,25,1,11,2012,875.0
248,Horticulture,Limes,net,13,KES847.00,11/01/2012,1,24,7,13,1,11,2012,847.0
249,Horticulture,Pineapples,Dozen,13,KES778.00,11/01/2012,1,32,1,13,1,11,2012,778.0
250,Horticulture,Pawpaw,Lg Box,54,KES1298.00,11/01/2012,1,31,3,54,1,11,2012,1298.0
251,Horticulture,Avocado,Bag,90,KES1847.00,11/01/2012,1,0,0,90,1,11,2012,1847.0
252,Horticulture,Kales,Bag,50,KES670.00,11/01/2012,1,21,0,50,1,11,2012,670.0
253,Horticulture,Cabbages,Ext Bag,126,KES1504.00,12/01/2012,1,5,2,126,1,12,2012,1504.0
254,Horticulture,Cooking Bananas,Med Bunch,22,KES547.00,12/01/2012,1,11,4,22,1,12,2012,547.0
255,Horticulture,Ripe Bananas,Med Bunch,14,KES577.00,12/01/2012,1,34,4,14,1,12,2012,577.0
256,Horticulture,Carrots,Ext Bag,138,KES2507.00,12/01/2012,1,7,2,138,1,12,2012,2507.0
257,Horticulture,Tomatoes,Lg Box,64,KES3348.00,12/01/2012,1,38,3,64,1,12,2012,3348.0
258,Horticulture,Onions Dry,net,13,KES900.00,12/01/2012,1,28,7,13,1,12,2012,900.0
259,Horticulture,Spring Onions,Bag,142,KES2390.00,12/01/2012,1,36,0,142,1,12,2012,2390.0
260,Horticulture,Chillies,Bag,38,KES3300.00,12/01/2012,1,10,0,38,1,12,2012,3300.0
261,Horticulture,Cucumber,Bag,50,KES1861.00,12/01/2012,1,13,0,50,1,12,2012,1861.0
262,Horticulture,Capsicums,Bag,50,KES2222.00,12/01/2012,1,6,0,50,1,12,2012,2222.0
263,Horticulture,Brinjals,Bag,44,KES1427.00,12/01/2012,1,4,0,44,1,12,2012,1427.0
264,Horticulture,Cauliflower,crate,39,KES1993.00,12/01/2012,1,9,6,39,1,12,2012,1993.0
265,Horticulture,Lettuce,Bag,51,KES3932.00,12/01/2012,1,23,0,51,1,12,2012,3932.0
266,Horticulture,Passion Fruits,Bag,57,KES3548.00,12/01/2012,1,30,0,57,1,12,2012,3548.0
267,Horticulture,Oranges,Bag,93,KES2877.00,12/01/2012,1,29,0,93,1,12,2012,2877.0
268,Horticulture,Lemons,Bag,95,KES1911.00,12/01/2012,1,22,0,95,1,12,2012,1911.0
269,Horticulture,Mangoes Local,Bag,126,KES2124.00,12/01/2012,1,25,0,126,1,12,2012,2124.0
270,Horticulture,Mangoes Ngowe,Sm Basket,25,KES912.00,12/01/2012,1,26,5,25,1,12,2012,912.0
271,Horticulture,Limes,net,13,KES728.00,12/01/2012,1,24,7,13,1,12,2012,728.0
272,Horticulture,Pineapples,Dozen,13,KES727.00,12/01/2012,1,32,1,13,1,12,2012,727.0
273,Horticulture,Pawpaw,Lg Box,54,KES1611.00,12/01/2012,1,31,3,54,1,12,2012,1611.0
274,Horticulture,Avocado,Bag,90,KES2255.00,12/01/2012,1,0,0,90,1,12,2012,2255.0
275,Horticulture,Kales,Bag,50,KES690.00,12/01/2012,1,21,0,50,1,12,2012,690.0
276,Horticulture,Cabbages,Ext Bag,126,KES1466.00,01/01/2013,1,5,2,126,1,1,2013,1466.0
277,Horticulture,Kales,Bag,50,KES685.00,01/01/2013,1,21,0,50,1,1,2013,685.0
278,Horticulture,Avocado,Bag,90,KES1981.00,01/01/2013,1,0,0,90,1,1,2013,1981.0
279,Horticulture,Pawpaw,Lg Box,54,KES1479.00,01/01/2013,1,31,3,54,1,1,2013,1479.0
280,Horticulture,Pineapples,Dozen,13,KES897.00,01/01/2013,1,32,1,13,1,1,2013,897.0
281,Horticulture,Limes,net,13,KES582.00,01/01/2013,1,24,7,13,1,1,2013,582.0
282,Horticulture,Mangoes Ngowe,Sm Basket,25,KES827.00,01/01/2013,1,26,5,25,1,1,2013,827.0
283,Horticulture,Mangoes Local,Bag,126,KES1833.00,01/01/2013,1,25,0,126,1,1,2013,1833.0
